,index,Unnamed: 0,url,name,active_from,active_to,position,college,height,weight,birth_date,NBA_fg%,NBA_g_played,NBA_ppg,NBA_ft%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft_per_g,NBA_fta_p_g,NBA__3ptpg,NBA__3ptapg,NBA__3ptpct,NBA_efgpct,NBA_PER,NBA_vorp,NBA_bpm,NBA_ws_per_48,NBA_ws,NCAA_fgpct,NCAA_games,NCAA_ppg,NCAA_ft,NCAA_fgpg,NCAA_fgapg,NCAA_ftpg,NCAA_ftapg,NCAA__3ptpg,NCAA__3ptapg,NCAA__3ptpct
340,902,902,/players/c/couside01.html,DeMarcus Cousins,2011,2022,C-F,Kentucky,6-10,270.0,"August 13, 1990",0.46,654,19.6,0.737,7.0,15.2,5.0,6.7,0.7,2.0,0.331,0.481,22.0,21.6,2.4,0.115,46.8,0.558,38.0,15.1,0.604,5.4,9.7,4.3,7.1,0.0,0.2,0.167
341,904,904,/players/c/covinro01.html,Robert Covington,2014,2022,F-C,Tennessee State,6-7,209.0,"December 14, 1990",0.406,537,11.6,0.813,3.9,9.6,1.6,2.0,2.2,6.1,0.36,0.522,13.0,9.8,0.4,0.085,28.4,0.476,118.0,14.8,0.802,5.3,11.1,2.7,3.4,1.5,3.7,0.422
342,909,909,/players/c/crabbal01.html,Allen Crabbe,2014,2020,G-F,California,6-5,212.0,"April 9, 1992",0.425,381,9.1,0.831,3.2,7.6,1.0,1.2,1.6,4.2,0.387,0.531,10.8,0.9,-1.6,0.072,13.7,0.446,98.0,15.7,0.819,5.4,12.2,2.7,3.3,2.1,5.6,0.382
343,910,910,/players/c/craigto01.html,Torrey Craig,2018,2022,G-F,USC Upstate,6-7,221.0,"December 19, 1990",0.456,300,5.7,0.693,2.2,4.8,0.5,0.7,0.8,2.4,0.33,0.539,11.1,0.4,-1.7,0.09,10.5,0.413,131.0,16.2,0.671,5.7,13.8,2.6,3.8,2.3,6.9,0.33
344,911,911,/players/c/crawfch01.html,Chris Crawford,1998,2004,F,Marquette,6-9,235.0,"May 13, 1975",0.437,252,6.6,0.824,2.4,5.5,1.5,1.8,0.3,0.8,0.347,0.462,12.9,-0.6,-2.6,0.078,6.5,0.444,113.0,9.3,0.721,3.2,7.3,2.1,2.9,0.8,2.0,0.373
345,913,913,/players/c/crawfja01.html,Jamal Crawford,2001,2020,G,Michigan,6-5,185.0,"March 20, 1980",0.41,1327,14.6,0.862,5.1,12.4,2.8,3.2,1.7,4.8,0.348,0.477,15.1,18.4,-0.1,0.075,60.7,0.412,17.0,16.6,0.784,6.2,15.0,2.4,3.0,1.9,5.9,0.327
346,914,914,/players/c/crawfjo01.html,Joe Crawford,2009,2009,F,Kentucky,6-5,210.0,"June 17, 1986",0.3,2,4.5,1.0,1.5,5.0,1.0,1.0,0.5,2.0,0.25,0.35,10.8,0.0,-2.7,0.037,0.0,0.438,127.0,11.3,0.702,4.0,9.2,1.8,2.6,1.5,4.2,0.35
347,915,915,/players/c/crawfjo02.html,Jordan Crawford,2011,2018,G,"Indiana, Xavier",6-4,195.0,"October 23, 1988",0.411,281,12.2,0.826,4.6,11.1,1.9,2.3,1.2,3.7,0.317,0.464,14.1,1.3,-1.3,0.044,6.3,0.455,65.0,15.5,0.765,5.6,12.4,2.6,3.3,1.7,4.4,0.384
348,920,920,/players/c/crispjo01.html,Joe Crispin,2002,2002,G,Penn State,6-0,185.0,"July 18, 1979",0.382,21,3.8,0.923,1.2,3.2,0.6,0.6,0.7,1.9,0.385,0.493,17.1,0.2,3.6,0.136,0.4,0.382,127.0,15.6,0.885,4.8,12.7,3.5,4.0,2.4,7.0,0.348
349,924,924,/players/c/crittja01.html,Javaris Crittenton,2008,2009,G,Georgia Tech,6-5,200.0,"December 31, 1987",0.442,113,5.3,0.638,2.0,4.6,1.1,1.7,0.1,0.5,0.231,0.454,10.6,-1.0,-4.2,0.002,0.1,0.45,32.0,14.4,0.783,4.9,11.0,3.4,4.3,1.1,3.2,0.356
350,929,929,/players/c/croshau01.html,Austin Croshere,1998,2009,F,Providence,6-9,235.0,"May 1, 1975",0.407,659,6.8,0.861,2.3,5.6,1.6,1.9,0.7,1.9,0.34,0.466,14.3,5.6,-0.1,0.115,27.6,0.44,121.0,12.6,0.843,4.1,9.3,3.2,3.8,1.2,3.6,0.34
351,934,934,/players/c/crottjo01.html,John Crotty,1993,2003,G,Virginia,6-1,185.0,"July 15, 1969",0.431,477,4.0,0.837,1.3,3.0,1.1,1.3,0.3,0.8,0.384,0.481,12.7,1.2,-1.2,0.1,12.1,0.415,129.0,12.8,0.694,4.1,9.8,3.2,4.6,1.4,4.0,0.346
352,938,938,/players/c/crowdja01.html,Jae Crowder,2013,2022,F,Marquette,6-6,235.0,"July 6, 1990",0.417,735,9.6,0.777,3.3,7.9,1.4,1.9,1.6,4.5,0.346,0.516,12.7,10.9,0.3,0.104,40.2,0.492,72.0,14.6,0.683,5.2,10.6,2.7,4.0,1.4,4.1,0.35
353,940,940,/players/c/culveja01.html,Jarrett Culver,2020,2022,G,Texas Tech,6-6,195.0,"February 20, 1999",0.401,134,6.6,0.497,2.6,6.5,0.7,1.5,0.7,2.4,0.283,0.454,9.3,-1.5,-4.6,-0.002,-0.1,0.459,75.0,14.9,0.687,5.3,11.6,2.9,4.2,1.4,4.1,0.341
354,944,944,/players/c/cummivo01.html,Vonteego Cummings,2000,2002,G,Pitt,6-3,185.0,"February 29, 1976",0.383,199,6.9,0.726,2.6,6.8,1.2,1.6,0.5,1.7,0.321,0.423,11.8,-0.3,-2.4,0.028,2.2,0.423,103.0,15.3,0.699,5.4,12.7,3.3,4.7,1.3,3.9,0.334
355,946,946,/players/c/cunnica01.html,Cade Cunningham,2022,2022,G,Oklahoma State,6-6,220.0,"September 25, 2001",0.416,64,17.4,0.845,6.7,16.1,2.2,2.6,1.8,5.7,0.314,0.471,13.1,0.2,-1.6,-0.011,-0.5,0.438,27.0,20.1,0.846,6.5,14.8,4.9,5.8,2.3,5.7,0.4
356,947,947,/players/c/cunnida01.html,Dante Cunningham,2010,2019,F,Villanova,6-8,230.0,"April 22, 1987",0.469,715,5.8,0.649,2.5,5.3,0.5,0.8,0.3,0.9,0.345,0.498,11.1,1.1,-1.7,0.08,24.9,0.524,139.0,9.6,0.693,3.7,7.1,2.2,3.2,0.0,0.0,0.333
357,949,949,/players/c/cunnija01.html,Jared Cunningham,2013,2016,G,Oregon State,6-4,195.0,"May 22, 1991",0.347,84,2.3,0.674,0.7,2.1,0.7,1.0,0.2,0.7,0.306,0.402,6.8,-0.6,-5.7,0.017,0.2,0.455,98.0,13.0,0.754,3.9,8.5,4.4,5.8,0.9,2.5,0.344
358,954,954,/players/c/curlebi01.html,Bill Curley,1995,2001,F,Boston College,6-9,220.0,"May 29, 1972",0.444,147,2.7,0.743,1.1,2.4,0.5,0.7,0.0,0.1,0.222,0.446,8.2,-1.3,-5.3,0.047,1.6,0.565,126.0,16.7,0.78,5.9,10.4,4.9,6.3,0.0,0.0,0.0
359,959,959,/players/c/currymi01.html,Michael Curry,1994,2005,F-G,Georgia Southern University,6-5,210.0,"August 22, 1968",0.447,667,4.5,0.825,1.6,3.7,1.1,1.3,0.1,0.4,0.298,0.463,7.5,-4.7,-3.4,0.065,17.8,0.563,119.0,9.4,0.738,3.5,6.3,2.3,3.1,0.0,0.1,0.083
360,960,960,/players/c/curryse01.html,Seth Curry,2014,2022,G,"Liberty, Duke",6-2,185.0,"August 23, 1990",0.477,377,11.3,0.854,4.1,8.7,1.1,1.3,1.9,4.4,0.439,0.588,13.9,5.0,0.1,0.106,20.9,0.431,141.0,14.9,0.827,4.8,11.2,2.9,3.5,2.3,5.9,0.394
361,961,961,/players/c/curryst01.html,Stephen Curry,2010,2022,G,Davidson,6-2,185.0,"March 14, 1988",0.473,826,24.3,0.908,8.3,17.6,3.9,4.3,3.8,8.8,0.428,0.581,23.8,60.9,6.5,0.203,120.2,0.467,104.0,25.3,0.876,8.4,17.9,4.6,5.3,4.0,9.7,0.412
362,972,972,/players/d/daniean01.html,Antonio Daniels,1998,2011,G,Bowling Green,6-4,195.0,"March 19, 1975",0.444,872,7.6,0.793,2.6,5.9,2.0,2.5,0.4,1.3,0.311,0.479,14.6,10.1,0.0,0.115,47.0,0.515,111.0,16.1,0.758,5.9,11.4,3.6,4.8,0.8,1.9,0.396
363,975,975,/players/d/daniema01.html,Marquis Daniels,2004,2013,G-F,Auburn,6-6,200.0,"January 7, 1981",0.451,548,7.9,0.721,3.2,7.2,1.2,1.7,0.2,0.8,0.235,0.464,12.9,3.0,-1.0,0.068,16.5,0.496,111.0,13.8,0.646,5.4,10.8,2.4,3.8,0.6,2.0,0.296
364,977,977,/players/d/danietr01.html,Troy Daniels,2014,2020,G,VCU,6-4,200.0,"July 15, 1991",0.401,339,6.6,0.799,2.3,5.6,0.4,0.5,1.6,4.1,0.395,0.546,10.4,-0.4,-2.3,0.049,5.1,0.389,125.0,7.3,0.782,2.4,6.1,0.5,0.7,2.0,5.2,0.386
365,985,985,/players/d/darlina01.html,Nate Darling,2021,2021,G,"UAB, University of Delaware",6-6,200.0,"August 30, 1998",0.286,7,1.3,1.0,0.3,1.0,0.4,0.4,0.3,1.0,0.286,0.429,8.2,0.0,-4.0,0.038,0.0,0.459,95.0,11.4,0.841,3.8,8.3,1.8,2.2,2.0,4.8,0.408
366,994,994,/players/d/daviebr01.html,Brandon Davies,2014,2015,F,BYU,6-10,240.0,"July 25, 1991",0.411,78,3.7,0.644,1.4,3.4,0.7,1.2,0.1,0.6,0.227,0.43,8.7,-0.9,-5.5,0.016,0.3,0.522,135.0,12.4,0.66,4.5,8.6,3.4,5.1,0.0,0.1,0.333
367,995,995,/players/d/davisan02.html,Anthony Davis,2013,2022,F-C,Kentucky,6-10,253.0,"March 11, 1993",0.515,604,23.8,0.794,8.9,17.3,5.5,7.0,0.5,1.6,0.303,0.529,26.9,42.1,6.0,0.211,91.3,0.623,40.0,14.2,0.709,5.3,8.4,3.6,5.1,0.1,0.5,0.15
368,996,996,/players/d/davisan01.html,Antonio Davis,1994,2006,F-C,Texas-El Paso,6-9,215.0,"October 31, 1968",0.448,903,10.0,0.727,3.5,7.9,3.0,4.1,0.0,0.0,0.087,0.448,14.1,4.4,-1.3,0.11,59.6,0.538,122.0,9.2,0.6,3.3,6.1,2.6,4.3,0.0,0.0,0.0
369,998,998,/players/d/davisba01.html,Baron Davis,2000,2012,G,UCLA,6-3,209.0,"April 13, 1979",0.409,835,16.1,0.711,5.9,14.3,2.8,3.9,1.6,5.0,0.32,0.465,17.8,33.1,2.6,0.106,63.1,0.503,59.0,13.6,0.631,4.9,9.7,2.9,4.5,1.0,3.1,0.328
370,1003,1003,/players/d/davisbr02.html,Brian Davis,1994,1994,F-G,Duke,6-7,200.0,"June 21, 1970",0.317,68,1.9,0.735,0.6,1.9,0.7,1.0,0.0,0.0,0.333,0.321,9.2,-0.3,-4.7,0.0,0.0,0.465,141.0,6.8,0.686,2.3,5.0,2.1,3.0,0.1,0.3,0.205
371,1006,1006,/players/d/davisda01.html,Dale Davis,1992,2007,F-C,Clemson,6-11,230.0,"March 25, 1969",0.53,1094,8.0,0.562,3.3,6.2,1.4,2.5,0.0,0.0,0.0,0.53,15.2,18.4,0.5,0.141,86.9,0.588,121.0,13.6,0.59,5.2,8.9,3.2,5.4,0.0,0.0,0.0
372,1010,1010,/players/d/davisem01.html,Emanual Davis,1997,2003,G,Delaware State University,6-4,195.0,"August 27, 1968",0.394,226,4.9,0.787,1.8,4.5,0.6,0.8,0.7,2.0,0.352,0.471,9.6,-0.4,-2.3,0.031,2.5,0.465,72.0,17.6,0.725,5.7,12.3,4.1,5.7,2.1,5.8,0.368
373,1011,1011,/players/d/davisgl01.html,Glen Davis,2008,2015,F-C,LSU,6-9,289.0,"January 1, 1986",0.447,514,8.0,0.7,3.1,7.0,1.7,2.4,0.0,0.1,0.182,0.448,12.4,-1.7,-2.6,0.082,18.6,0.496,95.0,16.7,0.694,6.0,12.0,4.5,6.5,0.3,0.9,0.31
374,1013,1013,/players/d/davishu01.html,Hubert Davis,1993,2004,G,UNC,6-5,183.0,"May 17, 1970",0.458,685,8.2,0.837,3.1,6.7,0.9,1.1,1.1,2.4,0.441,0.537,11.8,4.2,-0.9,0.088,27.7,0.498,137.0,11.8,0.819,4.1,8.2,2.2,2.7,1.4,3.3,0.435
375,1016,1016,/players/d/davisjo02.html,Josh Davis,2004,2012,F,Wyoming,6-8,235.0,"August 10, 1980",0.373,67,2.3,0.724,0.8,2.2,0.3,0.4,0.3,1.0,0.329,0.45,11.0,0.0,-2.0,0.082,0.8,0.497,119.0,12.1,0.642,4.7,9.5,2.1,3.3,0.5,1.9,0.278
376,1019,1019,/players/d/davisma02.html,Mark Davis,1996,2000,G-F,"Howard College, Texas Tech",6-7,210.0,"April 26, 1973",0.442,230,5.5,0.655,2.1,4.7,1.2,1.9,0.1,0.5,0.246,0.455,11.9,-0.4,-2.4,0.03,2.3,0.497,58.0,17.9,0.639,6.6,13.3,4.0,6.3,0.6,2.0,0.325
377,1025,1025,/players/d/davispa01.html,Paul Davis,2007,2010,C,Michigan State,6-11,270.0,"July 21, 1984",0.402,82,2.6,0.732,1.1,2.7,0.5,0.7,0.0,0.0,0.0,0.402,10.6,-0.4,-4.2,0.035,0.5,0.538,130.0,13.2,0.763,4.7,8.8,3.7,4.8,0.1,0.4,0.271
378,1028,1028,/players/d/davisri01.html,Ricky Davis,1999,2010,G,Iowa,6-6,195.0,"September 23, 1979",0.446,736,13.5,0.781,5.1,11.4,2.5,3.2,0.8,2.2,0.361,0.48,14.7,6.3,-0.8,0.061,28.0,0.466,31.0,15.0,0.698,5.6,12.0,2.9,4.2,0.9,2.9,0.308
379,1030,1030,/players/d/daviste02.html,Terence Davis,2020,2022,G,Ole Miss,6-4,201.0,"May 16, 1997",0.437,163,8.5,0.835,3.1,7.1,0.8,1.0,1.5,4.0,0.366,0.541,13.5,1.1,-0.5,0.075,4.4,0.445,121.0,12.5,0.717,4.5,10.2,2.0,2.7,1.5,4.3,0.339
380,1044,1044,/players/d/dawsoto01.html,Tony Dawson,1991,1995,F,Florida State,6-7,215.0,"August 25, 1967",0.467,6,2.8,1.0,1.2,2.5,0.2,0.2,0.3,0.7,0.5,0.533,11.6,0.0,-5.8,-0.009,0.0,0.533,60.0,19.4,0.732,7.6,14.2,3.8,5.2,0.4,1.5,0.295
381,1045,1045,/players/d/dayto01.html,Todd Day,1993,2001,G-F,Arkansas,6-6,188.0,"January 7, 1970",0.406,483,12.3,0.739,4.2,10.4,2.6,3.6,1.2,3.4,0.345,0.462,14.1,3.4,-0.9,0.069,17.5,0.479,127.0,18.9,0.747,6.6,13.7,3.9,5.3,1.8,4.6,0.384
382,1046,1046,/players/d/dayeau01.html,Austin Daye,2010,2015,F,Gonzaga,6-11,220.0,"June 5, 1988",0.402,293,5.2,0.778,1.9,4.8,0.7,0.9,0.6,1.8,0.351,0.469,11.6,0.0,-2.0,0.053,4.5,0.477,67.0,11.6,0.79,4.1,8.6,2.5,3.1,0.9,2.2,0.422
383,1051,1051,/players/d/declean01.html,Andrew DeClercq,1996,2005,F-C,Florida,6-10,230.0,"February 1, 1973",0.507,587,4.8,0.621,1.9,3.8,1.0,1.6,0.0,0.0,0.0,0.507,12.1,-2.4,-2.9,0.094,19.3,0.531,128.0,10.2,0.663,3.9,7.4,2.3,3.5,0.0,0.1,0.333
384,1055,1055,/players/d/derozde01.html,DeMar DeRozan,2010,2022,G-F,USC,6-6,220.0,"August 7, 1989",0.465,957,20.8,0.837,7.5,16.0,5.4,6.5,0.4,1.5,0.288,0.478,18.9,22.6,0.7,0.123,83.7,0.523,35.0,13.9,0.646,5.5,10.5,2.7,4.2,0.2,1.0,0.167
385,1059,1059,/players/d/dedmode01.html,Dewayne Dedmon,2014,2022,C,USC,7-0,245.0,"August 12, 1989",0.527,477,6.4,0.735,2.5,4.8,1.0,1.3,0.4,1.1,0.338,0.566,15.1,2.0,-1.1,0.126,22.2,0.52,51.0,7.1,0.614,3.0,5.8,1.1,1.7,0.0,0.1,0.0
386,1062,1062,/players/d/deherte01.html,Terry Dehere,1994,1999,G,Seton Hall,6-2,190.0,"September 12, 1971",0.411,402,8.0,0.779,2.7,6.5,1.8,2.4,0.8,2.2,0.378,0.473,12.7,-1.1,-2.6,0.048,7.3,0.442,128.0,19.5,0.822,6.1,13.9,4.8,5.8,2.5,6.3,0.389
387,1064,1064,/players/d/dejeabr01.html,Bryce Dejean-Jones,2016,2016,G,"USC, UNLV, Iowa State",6-6,209.0,"August 21, 1992",0.406,14,5.6,0.524,2.0,4.9,0.8,1.5,0.9,2.3,0.375,0.493,9.6,0.0,-2.5,0.033,0.2,0.429,117.0,10.8,0.684,3.8,8.8,2.3,3.3,1.0,3.1,0.336
388,1065,1065,/players/d/dekkesa01.html,Sam Dekker,2016,2022,F,Wisconsin,6-9,230.0,"May 6, 1994",0.478,201,5.4,0.606,2.2,4.7,0.5,0.8,0.4,1.5,0.288,0.525,12.7,0.5,-1.4,0.083,5.4,0.493,113.0,12.1,0.695,4.4,9.0,2.0,2.8,1.3,3.6,0.348
389,1067,1067,/players/d/delanma01.html,Malcolm Delaney,2017,2018,G,Virginia Tech,6-3,190.0,"March 11, 1989",0.377,127,5.7,0.805,2.0,5.3,1.2,1.5,0.6,1.8,0.308,0.431,8.9,-1.3,-4.2,0.024,1.1,0.401,136.0,16.6,0.845,4.7,11.7,5.3,6.3,1.9,5.3,0.363
390,1068,1068,/players/d/delebi01.html,Bison Dele,1992,1999,F-C,"Maryland, Arizona",6-9,235.0,"April 6, 1969",0.528,413,11.0,0.691,4.5,8.5,2.0,2.9,0.0,0.0,0.143,0.528,16.5,3.4,-0.6,0.109,22.8,0.594,96.0,12.4,0.691,5.0,8.4,2.4,3.5,0.0,0.0,0.0
391,1071,1071,/players/d/delkto01.html,Tony Delk,1997,2006,G,Kentucky,6-1,189.0,"January 28, 1974",0.408,545,9.1,0.769,3.4,8.4,1.4,1.8,0.9,2.5,0.343,0.459,13.7,4.8,-0.4,0.08,19.5,0.474,133.0,14.2,0.709,5.1,10.8,1.8,2.6,2.1,5.4,0.397
392,1072,1072,/players/d/dellama01.html,Matthew Dellavedova,2014,2021,G,Saint Mary's,6-3,200.0,"September 8, 1990",0.386,447,5.5,0.84,2.0,5.1,0.7,0.8,0.9,2.5,0.364,0.474,9.8,-2.8,-3.2,0.054,10.1,0.415,136.0,14.2,0.86,4.3,10.5,3.4,4.0,2.1,5.6,0.378
393,1075,1075,/players/d/dempsde01.html,Dell Demps,1994,1997,G,University of the Pacific,6-3,205.0,"February 12, 1970",0.5,20,3.0,0.762,1.1,2.1,0.8,1.1,0.1,0.2,0.333,0.512,14.4,0.0,-2.6,0.057,0.1,0.455,115.0,15.1,0.695,5.2,11.4,2.7,4.0,2.0,5.1,0.394
394,1077,1077,/players/d/denglu01.html,Luol Deng,2005,2019,F,Duke,6-9,237.0,"April 16, 1985",0.456,902,14.8,0.769,5.7,12.5,2.7,3.5,0.7,2.2,0.332,0.485,15.4,22.9,0.9,0.115,74.0,0.476,37.0,15.1,0.71,5.7,11.9,2.6,3.7,1.1,3.0,0.36
395,1080,1080,/players/d/dentmju01.html,Justin Dentmon,2012,2013,G,Washington,5-11,185.0,"September 5, 1985",0.333,8,3.3,0.667,1.3,3.8,0.5,0.8,0.3,1.8,0.143,0.367,3.8,-0.1,-7.8,-0.071,-0.1,0.428,133.0,10.7,0.789,3.4,8.0,2.8,3.6,1.0,2.9,0.349
396,1083,1083,/players/d/derrima01.html,Marcus Derrickson,2019,2019,F,Georgetown,6-7,249.0,"February 1, 1996",0.485,11,4.2,0.8,1.5,3.0,0.4,0.5,0.9,1.8,0.5,0.636,19.4,0.0,-2.7,0.155,0.2,0.459,89.0,10.3,0.856,3.3,7.2,2.4,2.8,1.3,3.3,0.397
397,1087,1087,/players/d/divindo01.html,Donte DiVincenzo,2019,2022,G,Villanova,6-4,203.0,"January 31, 1997",0.415,201,9.0,0.766,3.2,7.8,1.0,1.3,1.5,4.4,0.347,0.514,12.6,2.2,-0.2,0.093,9.2,0.469,85.0,10.2,0.705,3.6,7.6,1.6,2.2,1.5,4.0,0.378
398,1088,1088,/players/d/diakima01.html,Mamadi Diakite,2021,2022,F,Virginia,6-9,228.0,"January 21, 1997",0.471,27,3.7,0.68,1.5,3.2,0.6,0.9,0.0,0.5,0.077,0.477,11.9,-0.2,-3.9,0.089,0.6,0.524,134.0,7.4,0.72,3.0,5.6,1.3,1.8,0.2,0.6,0.337
399,1089,1089,/players/d/dialde01.html,Derrick Dial,2000,2004,G,Eastern Michigan,6-4,184.0,"December 20, 1975",0.372,82,3.1,0.672,1.3,3.4,0.5,0.7,0.1,0.5,0.19,0.386,12.2,0.0,-2.2,0.045,0.6,0.48,122.0,15.5,0.774,5.7,11.8,2.4,3.1,1.8,4.7,0.377
400,1091,1091,/players/d/diallha01.html,Hamidou Diallo,2019,2022,G,Kentucky,6-5,202.0,"July 31, 1998",0.475,207,8.4,0.634,3.3,7.0,1.4,2.2,0.3,1.2,0.277,0.499,13.0,-0.3,-2.3,0.06,4.9,0.428,37.0,10.0,0.616,3.6,8.5,2.1,3.4,0.7,2.1,0.338
401,1093,1093,/players/d/diawaya01.html,Yakhouba Diawara,2007,2010,G-F,Pepperdine,6-7,225.0,"August 29, 1982",0.357,187,3.5,0.65,1.2,3.5,0.4,0.6,0.7,2.2,0.301,0.45,6.1,-1.4,-4.1,0.03,1.7,0.456,45.0,15.5,0.65,5.4,11.9,3.8,5.9,0.8,2.2,0.343
402,1094,1094,/players/d/diazgu01.html,Guillermo Díaz,2008,2008,G,Miami (FL),6-2,192.0,"March 4, 1985",0.25,6,0.8,0.6,0.2,0.7,0.5,0.8,0.0,0.2,0.0,0.25,9.9,0.0,-2.9,0.033,0.0,0.448,93.0,15.9,0.74,5.5,12.4,2.9,3.9,1.9,4.9,0.38
403,1095,1095,/players/d/dickada01.html,Dan Dickau,2003,2008,G,"Washington, Gonzaga",6-0,190.0,"September 16, 1978",0.401,300,5.8,0.831,2.0,5.1,1.2,1.4,0.6,1.8,0.341,0.46,12.9,0.6,-1.5,0.061,5.9,0.451,97.0,13.3,0.854,3.9,8.7,3.3,3.8,2.2,4.8,0.462
404,1096,1096,/players/d/dickeka01.html,Kaniel Dickens,2004,2008,F,"Tyler Junior College, Idaho",6-8,215.0,"July 21, 1978",0.4,19,1.2,0.75,0.4,1.1,0.2,0.2,0.2,0.5,0.333,0.475,9.0,0.0,-3.0,0.055,0.1,0.483,55.0,9.3,0.63,3.3,6.9,2.4,3.8,0.2,0.7,0.351
405,1098,1098,/players/d/dickemi01.html,Michael Dickerson,1999,2003,G-F,Arizona,6-5,190.0,"June 25, 1975",0.432,212,15.4,0.784,5.8,13.3,2.5,3.2,1.4,3.4,0.402,0.483,13.4,1.3,-1.3,0.061,9.6,0.458,130.0,13.8,0.728,5.1,11.2,2.3,3.2,1.2,3.2,0.367
406,1103,1103,/players/d/dienetr01.html,Travis Diener,2006,2010,G,Marquette,6-1,175.0,"March 1, 1982",0.388,179,4.8,0.847,1.7,4.3,0.5,0.6,0.9,2.6,0.353,0.495,12.5,1.1,-0.4,0.102,5.6,0.416,120.0,14.1,0.837,4.3,10.2,3.2,3.8,2.4,5.7,0.413
407,1104,1104,/players/d/dienggo01.html,Gorgui Dieng,2014,2022,C,Louisville,6-10,252.0,"January 18, 1990",0.5,597,7.5,0.791,2.8,5.7,1.5,1.9,0.3,0.8,0.367,0.526,16.4,7.3,0.4,0.12,30.7,0.545,102.0,8.3,0.64,3.3,6.1,1.7,2.7,0.0,0.0,0.333
408,1116,1116,/players/d/dinwisp01.html,Spencer Dinwiddie,2015,2022,G,Colorado,6-5,215.0,"April 6, 1993",0.411,387,13.0,0.791,4.2,10.2,3.2,4.0,1.4,4.4,0.322,0.481,15.4,6.0,0.3,0.106,22.5,0.42,86.0,13.0,0.83,3.4,8.0,4.9,5.9,1.3,3.5,0.386
409,1117,1117,/players/d/dioguik01.html,Ike Diogu,2006,2012,F,Arizona State,6-8,250.0,"September 11, 1983",0.509,225,6.0,0.786,2.2,4.3,1.6,2.1,0.0,0.0,0.5,0.51,15.6,-0.7,-3.0,0.112,6.5,0.571,91.0,21.4,0.786,6.8,11.9,7.4,9.4,0.5,1.2,0.387
410,1122,1122,/players/d/dixonju01.html,Juan Dixon,2003,2009,G,Maryland,6-3,164.0,"October 9, 1978",0.413,436,8.4,0.833,3.2,7.8,1.3,1.5,0.8,2.2,0.341,0.461,12.8,-0.3,-2.1,0.034,6.1,0.468,141.0,16.1,0.85,5.7,12.1,3.0,3.6,1.7,4.4,0.389
411,1124,1124,/players/d/doleami01.html,Michael Doleac,1999,2008,C,Utah,6-11,262.0,"June 15, 1977",0.439,587,4.9,0.791,2.1,4.8,0.7,0.8,0.0,0.0,0.125,0.439,10.8,-3.7,-3.7,0.07,12.7,0.491,133.0,11.4,0.784,3.9,7.8,3.5,4.5,0.2,0.4,0.404
412,1132,1132,/players/d/doolike01.html,Keyon Dooling,2001,2013,G,Missouri,6-3,196.0,"May 8, 1980",0.416,728,7.0,0.799,2.5,6.0,1.4,1.7,0.6,1.8,0.349,0.467,11.5,-0.2,-2.0,0.063,18.5,0.411,59.0,12.1,0.733,3.8,9.2,3.4,4.7,1.1,3.4,0.338
413,1137,1137,/players/d/dorsety01.html,Tyler Dorsey,2018,2019,G,Oregon,6-5,183.0,"February 18, 1996",0.389,104,6.7,0.669,2.4,6.2,0.8,1.2,1.1,3.2,0.35,0.478,10.5,-0.5,-3.1,0.03,1.0,0.455,75.0,14.1,0.732,4.6,10.0,2.9,3.9,2.1,5.0,0.416
414,1138,1138,/players/d/dortlu01.html,Luguentz Dort,2020,2022,G,Arizona State,6-3,215.0,"April 19, 1999",0.395,139,13.3,0.797,4.5,11.4,2.3,2.9,2.0,5.9,0.333,0.482,10.5,-1.1,-3.0,0.03,2.5,0.405,34.0,16.1,0.7,5.1,12.6,4.3,6.1,1.6,5.2,0.307
415,1139,1139,/players/d/dosunay01.html,Ayo Dosunmu,2022,2022,G,Illinois,6-5,200.0,"January 17, 2000",0.52,77,8.8,0.679,3.6,6.9,0.7,1.0,0.9,2.4,0.376,0.585,11.2,0.0,-2.0,0.069,3.0,0.47,90.0,16.7,0.75,6.3,13.4,2.8,3.8,1.2,3.6,0.345
416,1140,1140,/players/d/dotsoda01.html,Damyean Dotson,2018,2022,G,"Oregon, Houston",6-5,210.0,"May 6, 1994",0.417,213,7.5,0.711,2.8,6.8,0.6,0.9,1.2,3.4,0.345,0.504,10.3,-0.9,-2.8,0.034,3.0,0.464,134.0,12.9,0.796,4.8,10.4,1.5,1.9,1.8,4.8,0.38
417,1141,1141,/players/d/dotsode01.html,Devon Dotson,2021,2022,G,Kansas,6-2,185.0,"August 2, 1999",0.5,22,2.4,0.556,1.0,2.0,0.2,0.4,0.1,0.7,0.188,0.534,13.4,0.0,-2.3,0.096,0.3,0.474,66.0,14.9,0.808,5.0,10.5,3.9,4.8,1.1,3.2,0.332
418,1142,1142,/players/d/doubyqu01.html,Quincy Douby,2007,2009,G,Rutgers University,6-3,175.0,"May 16, 1984",0.389,143,4.1,0.884,1.6,4.0,0.5,0.6,0.5,1.5,0.312,0.448,9.7,-0.6,-3.5,0.0,0.0,0.432,95.0,17.8,0.82,6.1,14.1,2.9,3.6,2.6,6.8,0.389
