,index,Unnamed: 0,url,name,active_from,active_to,position,college,height,weight,birth_date,NBA_fg%,NBA_g_played,NBA_ppg,NBA_ft%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft_per_g,NBA_fta_p_g,NBA__3ptpg,NBA__3ptapg,NBA__3ptpct,NBA_efgpct,NBA_PER,NBA_vorp,NBA_bpm,NBA_ws_per_48,NBA_ws,NCAA_fgpct,NCAA_games,NCAA_ppg,NCAA_ft,NCAA_fgpg,NCAA_fgapg,NCAA_ftpg,NCAA_ftapg,NCAA__3ptpg,NCAA__3ptapg,NCAA__3ptpct
121,318,318,/players/b/bennean01.html,Anthony Bennett,2014,2017,F,UNLV,6-8,245.0,"March 14, 1993",0.392,151,4.4,0.67,1.7,4.2,0.8,1.2,0.2,0.9,0.261,0.42,10.2,-1.3,-4.8,0.013,0.5,0.533,35.0,16.1,0.701,5.8,10.8,3.5,5.1,1.0,2.7,0.375
122,319,319,/players/b/benneel01.html,Elmer Bennett,1995,1997,G,Notre Dame,6-0,170.0,"February 13, 1970",0.34,21,2.3,0.722,0.8,2.2,0.6,0.9,0.1,0.5,0.273,0.372,6.2,-0.2,-6.9,-0.095,-0.3,0.443,124.0,12.0,0.717,4.3,9.8,2.6,3.7,0.7,2.1,0.351
123,320,320,/players/b/bennema01.html,Mario Bennett,1996,2000,F,Arizona State,6-6,235.0,"August 1, 1973",0.534,68,4.0,0.511,1.6,3.1,0.7,1.3,0.0,0.0,0.333,0.536,18.2,0.2,-0.8,0.153,1.9,0.587,87.0,15.7,0.53,6.2,10.6,3.1,5.8,0.2,0.8,0.294
124,323,323,/players/b/benneto01.html,Tony Bennett,1993,1995,G,Green Bay,6-0,175.0,"June 1, 1969",0.412,152,3.5,0.732,1.5,3.5,0.3,0.4,0.4,1.1,0.335,0.464,9.5,-0.3,-2.7,0.041,1.6,0.528,118.0,19.4,0.84,6.7,12.7,3.5,4.1,2.5,4.9,0.497
125,325,325,/players/b/benoida01.html,David Benoit,1992,2001,F,Alabama,6-8,220.0,"May 9, 1968",0.438,492,7.0,0.795,2.7,6.2,1.2,1.5,0.4,1.3,0.319,0.472,12.0,0.0,-2.0,0.087,16.9,0.511,66.0,10.6,0.75,4.4,8.7,1.6,2.2,0.2,0.3,0.435
126,337,337,/players/b/besttr01.html,Travis Best,1996,2005,G,Georgia Tech,5-11,182.0,"July 12, 1972",0.431,708,7.6,0.835,2.8,6.6,1.6,1.9,0.4,1.1,0.345,0.46,13.8,6.0,-0.4,0.098,30.9,0.456,124.0,16.6,0.809,5.7,12.4,3.2,3.9,2.1,5.3,0.393
127,338,338,/players/b/beverpa01.html,Patrick Beverley,2013,2022,G,Arkansas,6-1,180.0,"July 12, 1988",0.414,526,8.8,0.756,3.1,7.5,1.1,1.4,1.6,4.2,0.378,0.52,12.7,11.4,1.1,0.115,34.5,0.42,70.0,13.0,0.73,4.1,9.7,2.8,3.9,2.0,5.2,0.382
128,339,339,/players/b/beysa01.html,Saddiq Bey,2021,2022,F,Villanova,6-7,215.0,"April 9, 1999",0.399,152,14.3,0.833,4.8,12.0,2.2,2.6,2.5,7.0,0.361,0.505,13.4,1.9,-0.4,0.075,7.3,0.469,67.0,11.9,0.728,4.2,9.0,1.5,2.0,1.9,4.6,0.418
129,340,340,/players/b/beyty01.html,Tyler Bey,2021,2021,F,Colorado,6-7,215.0,"February 10, 1998",0.318,18,1.0,0.6,0.4,1.2,0.2,0.3,0.1,0.2,0.25,0.341,5.9,-0.1,-9.5,-0.033,0.0,0.53,99.0,11.2,0.747,4.0,7.6,3.0,4.1,0.2,0.6,0.305
130,346,346,/players/b/bibbymi01.html,Mike Bibby,1999,2012,G,Arizona,6-1,190.0,"May 13, 1978",0.436,1001,14.7,0.802,5.4,12.4,2.4,2.9,1.5,4.0,0.379,0.497,16.1,23.8,0.8,0.104,73.2,0.456,69.0,15.4,0.73,5.2,11.4,2.9,3.9,2.1,5.3,0.39
